Tid;afstand (cm);Low Battery?
600052;11.7;N
1200053;13.8;N
1800054;10.1;N
2400055;8.3;N
3000056;8.4;N
3600057;8.4;N
4200058;8.3;N
4800059;8.5;N
5400060;8.5;N
6000061;8.3;N
6600062;8.3;N
7200063;8.2;N
7800064;8.2;N
8400065;8.3;N
9000066;8.5;N
9600067;8.2;N
10200068;8.4;N
10800069;8.3;N
11400070;8.3;N
12000071;8.3;N
12600072;8.2;N
13200073;8.0;N
13800073;8.0;N
14400074;8.1;N
15000075;7.9;N
15600076;8.1;N
16200077;7.9;N
16800078;7.9;N
17400079;7.9;N
18000080;8.0;N
18600081;7.9;N
19200082;8.0;N
19800083;8.1;N
20400084;7.9;N
21000085;8.1;N
21600086;7.9;N
22200087;8.0;N
22800088;7.8;N
23400089;8.1;N
24000090;8.0;N
24600091;8.0;N
25200092;8.0;N
25800094;7.8;N
26400095;7.9;N
27000096;8.0;N
27600097;8.0;N
28200098;8.0;N
28800099;7.8;N
29400100;7.9;N
30000101;7.9;N
30600102;7.9;N
31200103;8.0;N
31800104;7.8;N
32400105;7.9;N
33000106;8.0;N
33600107;8.0;N
34200108;7.7;N
34800109;7.9;N
35400110;8.0;N
36000111;8.0;N
36600112;7.9;N
37200113;7.9;N
37800114;7.9;N
38400115;8.0;N
39000116;7.9;N
39600117;8.0;N
40200118;8.0;N
40800119;7.9;N
41400120;7.9;N
42000121;7.8;N
42600122;8.0;N
43200123;7.8;N
43800124;7.9;N
44400125;7.9;N
45000126;7.9;N
45600127;7.8;N
46200128;8.0;N
46800129;8.0;N
47400130;7.9;N
48000131;7.9;N
48600132;7.9;N
49200133;7.6;N
49800134;7.9;N
50400135;8.1;N
51000136;8.1;N
51600137;7.9;N
52200138;7.8;N
52800139;7.8;N
53400140;7.9;N
54000141;7.7;N
54600142;7.9;N
55200143;8.0;N
55800144;7.9;N
56400145;7.8;N
57000146;7.9;N
57600147;7.8;N
58200147;7.8;N
58800148;7.9;N
59400149;7.9;N
60000150;7.9;N
60600151;8.1;N
61200152;8.0;N
61800153;8.0;N
62400154;8.0;N
63000155;7.9;N
63600156;7.9;N
64200157;7.9;N
64800158;8.0;N
65400159;8.0;N
66000160;7.9;N
66600161;7.8;N
67200162;7.8;N
67800163;8.0;N
68400164;7.9;N
69000165;7.9;N
69600166;8.0;N
70200167;8.1;N
70800169;7.9;N
71400170;7.9;N
72000171;7.8;N
72600172;7.8;N
73200173;8.0;N
73800174;7.8;N
74400175;7.9;N
75000176;8.1;N
75600177;7.8;N
76200178;7.9;N
76800179;7.9;N
77400180;7.8;N
78000181;7.9;N
78600182;8.0;N
79200183;8.0;N
79800184;7.7;N
80400185;8.0;N
81000186;8.0;N
81600187;8.0;N
82200188;7.8;N
82800189;7.9;N
83400190;8.0;N
84000191;8.0;N
84600192;7.9;N
85200193;7.8;N
85800194;7.7;N
86400195;7.9;N
87000196;7.9;N
87600197;7.7;N
88200198;7.7;N
88800199;7.8;N
89400200;7.9;N
90000201;7.9;N
90600202;7.9;N
91200203;7.9;N
91800204;7.9;N
92400205;7.9;N
93000206;7.9;N
93600207;7.9;N
94200208;7.8;N
94800209;7.8;N
95400210;8.0;N
96000211;7.8;N
96600212;7.9;N
97200213;7.9;N
97800214;7.9;N
98400215;7.8;N
99000216;7.8;N
99600217;7.8;N
100200218;7.8;N
100800219;7.8;N
101400220;7.8;N
102000221;7.9;N
102600222;7.9;N
103200223;7.9;N
103800223;7.8;N
104400224;7.9;N
105000225;7.7;N
105600226;7.9;N
106200227;7.9;N
106800228;7.9;N
107400229;8.1;N
108000230;7.7;N
108600231;8.0;N
109200232;7.8;N
109800233;7.8;N
110400234;7.9;N
111000235;7.8;N
111600236;8.0;N
112200237;7.9;N
112800238;8.0;N
113400239;8.0;N
114000240;7.7;N
114600241;7.7;N
115200242;7.9;N
115800244;7.9;N
116400245;8.0;N
117000246;7.8;N
117600247;8.1;N
118200248;8.2;N
118800249;7.7;N
119400250;8.0;N
120000251;7.8;N
120600252;7.7;N
121200253;7.7;N
121800254;8.0;N
122400255;7.9;N
123000256;7.7;N
123600257;7.9;N
124200258;8.0;N
124800259;8.0;N
125400260;7.8;N
126000261;7.8;N
126600262;8.0;N
127200263;7.9;N
127800264;7.8;N
128400265;7.9;N
129000266;8.0;N
129600267;7.6;N
130200268;7.7;N
130800269;7.9;N
131400270;7.8;N
132000271;8.1;N
132600272;7.9;N
133200273;7.9;N
133800274;7.9;N
134400275;8.0;N
135000276;7.9;N
135600277;7.9;N
136200278;7.8;N
136800279;7.9;N
137400280;7.9;N
138000281;7.8;N
138600282;7.6;N
139200283;8.0;N
139800284;7.8;N
140400285;8.0;N
141000286;8.1;N
141600287;7.8;N
142200288;7.9;N
142800289;7.8;N
143400290;7.9;N
144000291;7.7;N
144600292;7.8;N
145200293;7.8;N
145800294;7.8;N
146400295;7.8;N
147000296;7.8;N
147600297;7.8;N
148200297;7.7;N
148800298;7.7;N
149400299;8.0;N
150000300;7.8;N
150600301;8.0;N
151200302;8.0;N
151800303;7.9;N
152400304;7.8;N
153000305;7.7;N
153600306;8.2;N
154200307;7.8;N
154800308;7.9;N
155400309;7.9;N
156000310;7.7;N
156600311;7.8;N
157200312;7.8;N
157800313;7.8;N
158400314;7.9;N
159000315;7.9;N
159600316;7.8;N
160200317;7.9;N
160800319;7.8;N
161400320;7.9;N
162000321;7.8;N
162600322;7.9;N
163200323;7.9;N
163800324;7.9;N
164400325;7.9;N
165000326;7.9;N
165600327;7.7;N
166200328;7.8;N
166800329;7.7;N
167400330;8.0;N
168000331;8.0;N
168600332;8.0;N
169200333;8.0;N
169800334;7.8;N
170400335;7.9;N
171000336;7.8;N
171600337;7.8;N
172200338;7.9;N
172800339;7.9;N
173400340;7.8;N
174000341;8.0;N
174600342;7.8;N
175200343;7.9;N
175800344;7.9;N
176400345;7.9;N
177000346;8.0;N
177600347;8.0;N
178200348;7.8;N
178800349;7.7;N
179400350;7.9;N
180000351;7.7;N
180600352;7.7;N
181200353;7.9;N
181800354;7.7;N
182400355;7.8;N
183000356;8.0;N
183600357;8.1;N
184200358;7.6;N
184800359;7.9;N
185400360;7.9;N
186000361;7.8;N
186600362;7.9;N
187200363;7.9;N
187800364;8.0;N
188400365;7.8;N
189000366;8.0;N
189600367;7.9;N
190200368;7.8;N
190800369;7.9;N
191400370;7.7;N
192000371;7.9;N
192600372;7.7;N
193200373;8.0;N
193800373;7.9;N
194400374;7.9;N
195000375;7.8;N
195600376;7.9;N
196200377;7.8;N
196800378;7.9;N
197400379;7.7;N
198000380;8.1;N
198600381;8.0;N
199200382;7.8;N
199800383;8.0;N
200400384;7.9;N
201000385;7.7;N
201600386;7.8;N
202200387;7.9;N
202800388;7.8;N
203400389;8.0;N
204000390;7.9;N
204600391;7.9;N
205200393;8.0;N
205800394;8.1;N
206400395;8.0;N
207000396;7.8;N
207600397;8.0;N
208200398;7.8;N
208800399;7.9;N
209400400;7.8;N
210000401;7.8;N
210600402;8.0;N
211200403;7.9;N
211800404;7.9;N
212400405;8.0;N
213000406;7.8;N
213600407;7.9;N
214200408;7.8;N
214800409;7.9;N
215400410;7.5;N
216000411;7.8;N
216600412;7.9;N
217200413;7.8;N
217800414;7.9;N
218400415;7.9;N
219000416;7.8;N
219600417;7.8;N
220200418;7.9;N
220800419;7.7;N
221400420;8.0;N
222000421;7.8;N
222600422;8.1;N
223200423;7.9;N
223800424;8.1;N
224400425;7.8;N
225000426;7.9;N
225600427;7.7;N
226200428;7.9;N
226800429;7.9;N
227400430;7.9;N
228000431;7.9;N
228600432;7.9;N
229200433;7.9;N
229800434;7.9;N
230400435;7.8;N
